url	state0	state1	state2	state3	state4	state5	stock	lastChecked
https://www.popmart.com/us/pop-now/set/40-10006965400280	1	2	1	1	1	1	true	2025-06-07T01:13:13.811Z
https://www.popmart.com/us/pop-now/set/40-10006965600280	1	1	1	1	1	1	true	2025-06-07T01:13:13.813Z
https://www.popmart.com/us/pop-now/set/40-10006965100280	1	1	1	1	2	2	true	2025-06-07T01:13:13.853Z
https://www.popmart.com/us/pop-now/set/40-10006965500280	1	1	1	1	1	1	true	2025-06-07T01:13:14.011Z
https://www.popmart.com/us/pop-now/set/40-10006965200280	1	1	1	1	1	1	true	2025-06-07T01:13:14.040Z
https://www.popmart.com/us/pop-now/set/40-10006969500280	1	1	1	1	1	1	true	2025-06-07T01:13:19.668Z
https://www.popmart.com/us/pop-now/set/40-10006967100280	1	1	1	1	1	1	true	2025-06-07T01:13:25.621Z
https://www.popmart.com/us/pop-now/set/40-10006966800280	1	1	2	1	1	1	true	2025-06-07T01:13:25.647Z
https://www.popmart.com/us/pop-now/set/40-10006965700280	1	2	1	1	1	1	true	2025-06-07T01:13:25.662Z
https://www.popmart.com/us/pop-now/set/40-10006966500280	1	1	1	1	1	1	true	2025-06-07T01:13:26.647Z
https://www.popmart.com/us/pop-now/set/40-10006965800280	2	1	1	1	1	1	true	2025-06-07T01:13:26.737Z
https://www.popmart.com/us/pop-now/set/40-10006966000280	1	1	1	1	1	1	true	2025-06-07T01:13:26.804Z
https://www.popmart.com/us/pop-now/set/40-10006965900280	1	1	1	1	1	1	true	2025-06-07T01:13:27.157Z
https://www.popmart.com/us/pop-now/set/40-10006967000280	2	2	2	1	2	1	true	2025-06-07T01:13:27.260Z
https://www.popmart.com/us/pop-now/set/40-10006966600280	1	1	1	1	1	1	true	2025-06-07T01:13:27.464Z
https://www.popmart.com/us/pop-now/set/40-10006966300280	1	1	1	1	1	1	true	2025-06-07T01:13:27.465Z
https://www.popmart.com/us/pop-now/set/40-10006966900280	1	1	1	1	1	1	true	2025-06-07T01:13:27.482Z
https://www.popmart.com/us/pop-now/set/40-10006966200280	1	2	1	1	1	1	true	2025-06-07T01:13:27.497Z
https://www.popmart.com/us/pop-now/set/40-10006966700280	1	1	1	1	1	2	true	2025-06-07T01:13:27.539Z
https://www.popmart.com/us/pop-now/set/40-10006966400280	1	1	1	1	1	1	true	2025-06-07T01:13:27.565Z
https://www.popmart.com/us/pop-now/set/40-10006967200280	1	1	1	1	1	1	true	2025-06-07T01:13:27.833Z
https://www.popmart.com/us/pop-now/set/40-10006967400280	1	2	1	1	1	1	true	2025-06-07T01:13:28.177Z
https://www.popmart.com/us/pop-now/set/40-10006968000280	1	1	1	1	1	1	true	2025-06-07T01:13:28.233Z
https://www.popmart.com/us/pop-now/set/40-10006967300280	1	1	1	1	1	1	true	2025-06-07T01:13:28.389Z
https://www.popmart.com/us/pop-now/set/40-10006966100280	2	1	1	1	1	1	true	2025-06-07T01:13:28.663Z
https://www.popmart.com/us/pop-now/set/40-10006968300280	1	1	1	2	1	1	true	2025-06-07T01:13:28.875Z
https://www.popmart.com/us/pop-now/set/40-10006968200280	2	1	1	1	2	1	true	2025-06-07T01:13:28.935Z
https://www.popmart.com/us/pop-now/set/40-10006968400280	1	1	1	2	2	1	true	2025-06-07T01:13:28.944Z
https://www.popmart.com/us/pop-now/set/40-10006967700280	2	2	1	2	2	2	true	2025-06-07T01:13:28.987Z
https://www.popmart.com/us/pop-now/set/40-10006967900280	1	1	1	1	1	2	true	2025-06-07T01:13:29.217Z
